control,cve_ent,nom_ent,cve_mun,nom_mun,cve_ageb,cve_mza,terrenos,sup_total,cve_concat,shape_leng,shape_area,acelga,achiote,agapando,agave,aguacate,ajo,ajonjoli,albahaca,alcatraz,alfalfa,almacigo,alstroemer,anona,anthurium,arbol_hule,arroz,astronomic,avena,azucena_am,bambu,belen,berenjena,berro,betabel,brocoli,bugambilia,bule_morro,cacahuate,cacao,cacao_vola,cacate,cafe,cafe_cimar,calabacita,calabaza,camote,canela,cana_azuca,cana_silve,caramicua,carrizo,castana,cebolla,cebollin,chapaya,chayote,chicharo,chicozapot,chilca,chile,chipile,cilantro,cipres_pir,ciruela,clavel,coco_palma,col,coliflor,colinabo,corozo,crisantemo,dalia,durazno,ejote,escobillo,espinaca,estate,estevia,estrella,flame_flow,flor_china,flor_bolit,flor_cuare,flor_milpa,flor_sjuan,flor_galli,flor_hawai,floricult,fresa,frijol,frijol_ter,frijoli_mo,frijolon,garambullo,garbanzo,gardenia,garden_mex,geranio,gladiola,granadilla,guanabana,guayaba,guine_prie,haba,heliotropo,hierba_san,hierbabuen,hongo_seta,hortalizas,jaca,jamaica,jengibre,jicama,jitomate,jobo,lechuga,lima,limon,limonaria,litchi,maca_plant,madr_cacao,maguey,maiz,makal,mamey,mandarina,mangle_neg,mango,mangostan,manzana,manzanilla,margarita,melon,monte_blan,mora,moringa,mostaza,mota_obisp,nance_rojo,nanche,naranja,nardo,nochebuena,nogal_nuez,nopal,nube,oregano,ornamental,orquidea,pacaya,palma_arec,palma_came,palma_acei,palma_real,papa,papa_agua,papaya,pasiflora,pasto_espa,pasto_list,pasto_mond,pasto_cult,pepino,pera,perejil,pimienta,pcipres_it,pina,platano,polar,rabano,raiz_zactn,rambutan,repol_chin,rosa,sandia,solidago,sorgo,soya,tabaco,tamarindo,te_limon,tejocote,tercip_orq,tomat_arbo,tomat_casc,tomat_rojo,tomatillo,tomillo,trigo,tulipan,verdolaga,verdura,yuca,yuca_ornam,zacate,zanahoria,zapote,zarzamora,zempoalxoc
07092011-2010,7,Chiapas,92,Tecpatán,011-2,10,62,781.8713,092_011-2_010,22761.7967159,7803115.29695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07004010-5002,7,Chiapas,4,Altamirano,010-5,2,23,2752.3618,004_010-5_002,30168.9712077,27416142.3101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07051011-A028,7,Chiapas,51,Mapastepec,011-A,28,10,51.3829,051_011-A_028,3548.20678505,508877.778907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07048008-2003,7,Chiapas,48,Juárez,008-2,3,12,505.7045,048_008-2_003,11733.5350247,5055819.60161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07008003-4004,7,Chiapas,8,Angel Albino Corzo,003-4,4,263,3685.4644,008_003-4_004,37835.5728216,36616434.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07052017-4005,7,Chiapas,52,Las Margaritas,017-4,5,63,363.2202,052_017-4_005,7531.65554517,3615052.79979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07076002-A011,7,Chiapas,76,Sabanilla,002-A,11,144,1041.8282,076_002-A_011,14415.5544463,10622441.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07020026-A004,7,Chiapas,20,La Concordia,026-A,4,11,1751.5508,020_026-A_004,20958.2807911,17376888.1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07026001-3004,7,Chiapas,26,Chenalhó,001-3,4,9,422.37,026_001-3_004,11717.9274083,4212997.7943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07059014-1004,7,Chiapas,59,Ocosingo,014-1,4,24,490.2382,059_014-1_004,9897.94846015,4892903.2502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07059027-9004,7,Chiapas,59,Ocosingo,027-9,4,44,456.6697,059_027-9_004,9951.60840773,4555357.75154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07019013-1009,7,Chiapas,19,Comitán de Domínguez,013-1,9,60,782.1411,019_013-1_009,12552.5310591,7778317.63669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07108019-0005,7,Chiapas,108,Villaflores,019-0,5,150,1708.9472,108_019-0_005,28097.3235262,16996576.4176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07061014-A013,7,Chiapas,61,Ocozocoautla de Espinosa,014-A,13,32,667.5907,061_014-A_013,17300.7263942,6647297.62492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07025001-6006,7,Chiapas,25,Chapultenango,001-6,6,55,864.9848,025_001-6_006,16245.3498269,9080014.29769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07067004-A011,7,Chiapas,67,Pantepec,004-A,11,32,134.976,067_004-A_011,4949.31732732,1346762.75232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07092010-8006,7,Chiapas,92,Tecpatán,010-8,6,31,471.8937,092_010-8_006,14656.7003472,5140987.25577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07081004-9009,7,Chiapas,81,Simojovel,004-9,9,200,159.66,081_004-9_009,7785.47836943,1704010.87665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07107025-9009,7,Chiapas,107,Villa Corzo,025-9,9,3,445.7376,107_025-9_009,15404.1574812,4427299.11279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
