CONTROL,TERRENOS,SUP_TOTAL,SUMA_TOTAL,sup_cal_ha,sup_tot_ch,diferencia,GRIDCODE,cambio_tip,sup_cambio
07116010-1006,106,4316.111,89957.849,4362.671,90819.402,46.56,35,Transicion,51.471
07116010-1006,106,4316.111,89957.849,4362.671,90819.402,46.56,23,Sin cambio,963.449
07116010-1006,106,4316.111,89957.849,4362.671,90819.402,46.56,37,Conservado,329.022
07116010-1006,106,4316.111,89957.849,4362.671,90819.402,46.56,4,Actividad productiva,17.378
07116010-1006,106,4316.111,89957.849,4362.671,90819.402,46.56,24,Deforestada,395.815
07116010-1006,106,4316.111,89957.849,4362.671,90819.402,46.56,36,Deforestada,37.785
07116010-1006,106,4316.111,89957.849,4362.671,90819.402,46.56,25,Degradada,561.304
07116010-1006,106,4316.111,89957.849,4362.671,90819.402,46.56,6,Degradada,151.194
07116010-1006,106,4316.111,89957.849,4362.671,90819.402,46.56,17,Transicion,0.057
07116010-1006,106,4316.111,89957.849,4362.671,90819.402,46.56,22,Actividad productiva,1.588
07116007-A004,1,84.1712,89957.849,83.822,90819.402,-0.349,24,Deforestada,8.174
07116007-A004,1,84.1712,89957.849,83.822,90819.402,-0.349,36,Deforestada,75.648
07116012-0002,40,818.2993,89957.849,814.68,90819.402,-3.619,29,Conservado,0.105
07116012-0002,40,818.2993,89957.849,814.68,90819.402,-3.619,5,Deforestada,71.031
07116012-0002,40,818.2993,89957.849,814.68,90819.402,-3.619,37,Conservado,23.036
07116012-0002,40,818.2993,89957.849,814.68,90819.402,-3.619,24,Deforestada,9.015
07116012-0002,40,818.2993,89957.849,814.68,90819.402,-3.619,36,Deforestada,689.113
07116012-0002,40,818.2993,89957.849,814.68,90819.402,-3.619,25,Degradada,19.743
07116012-0002,40,818.2993,89957.849,814.68,90819.402,-3.619,6,Degradada,2.602
07116007-A001,17,384.5981,89957.849,383.074,90819.402,-1.524,28,Reforestado,0.291
07116007-A001,17,384.5981,89957.849,383.074,90819.402,-1.524,29,Conservado,155.732
07116007-A001,17,384.5981,89957.849,383.074,90819.402,-1.524,35,Transicion,0.08
07116007-A001,17,384.5981,89957.849,383.074,90819.402,-1.524,23,Sin cambio,39.472
07116007-A001,17,384.5981,89957.849,383.074,90819.402,-1.524,24,Deforestada,129.317
07116007-A001,17,384.5981,89957.849,383.074,90819.402,-1.524,36,Deforestada,58.182
07116005-0003,230,6643.5596,89957.849,6686.051,90819.402,42.491,9,Sin cambio,0.317
07116005-0003,230,6643.5596,89957.849,6686.051,90819.402,42.491,2,Actividad productiva,0.12
07116005-0003,230,6643.5596,89957.849,6686.051,90819.402,42.491,38,Transicion,0.538
07116005-0003,230,6643.5596,89957.849,6686.051,90819.402,42.491,30,Reforestado,44.912
07116005-0003,230,6643.5596,89957.849,6686.051,90819.402,42.491,28,Reforestado,27.5
07116005-0003,230,6643.5596,89957.849,6686.051,90819.402,42.491,29,Conservado,1041.71
07116005-0003,230,6643.5596,89957.849,6686.051,90819.402,42.491,5,Deforestada,194.41
07116005-0003,230,6643.5596,89957.849,6686.051,90819.402,42.491,35,Transicion,86.435
07116005-0003,230,6643.5596,89957.849,6686.051,90819.402,42.491,23,Sin cambio,1705.366
07116005-0003,230,6643.5596,89957.849,6686.051,90819.402,42.491,37,Conservado,194.393
07116005-0003,230,6643.5596,89957.849,6686.051,90819.402,42.491,4,Actividad productiva,536.347
07116005-0003,230,6643.5596,89957.849,6686.051,90819.402,42.491,24,Deforestada,1363.771
07116005-0003,230,6643.5596,89957.849,6686.051,90819.402,42.491,36,Deforestada,1105.712
07116005-0003,230,6643.5596,89957.849,6686.051,90819.402,42.491,25,Degradada,140.984
07116005-0003,230,6643.5596,89957.849,6686.051,90819.402,42.491,8,Urbanizacion,0.048
07116005-0003,230,6643.5596,89957.849,6686.051,90819.402,42.491,17,Transicion,3.545
07116005-0003,230,6643.5596,89957.849,6686.051,90819.402,42.491,20,Degradada,1.922
07116005-0003,230,6643.5596,89957.849,6686.051,90819.402,42.491,16,Sin cambio,34.6
07116005-0003,230,6643.5596,89957.849,6686.051,90819.402,42.491,18,Deforestada,0.16
07116005-0003,230,6643.5596,89957.849,6686.051,90819.402,42.491,26,Degradada,106.469
