GRIDCODE,CLASS_NAME,CONTROL,HA,TIP_CAMBIO
"22",3 |  4,07116005-0003,1.49365000000,Ganancia de actividad agrícola
"22",3 |  4,07116004-6001,12.81890000000,Ganancia de actividad agrícola
"22",3 |  4,07116004-6001,15.47360000000,Ganancia de actividad agrícola
"22",3 |  4,07116004-6001,2.79166000000,Ganancia de actividad agrícola
"22",3 |  4,07116004-6001,3.05964000000,Ganancia de actividad agrícola
"22",3 |  4,07116004-6001,5.11978000000,Ganancia de actividad agrícola
"22",3 |  4,07116004-6001,3.76823000000,Ganancia de actividad agrícola
"22",3 |  4,07116009-9002,0.82733600000,Ganancia de actividad agrícola
"22",3 |  4,07116009-9002,6.62220000000,Ganancia de actividad agrícola
"22",3 |  4,07116009-9002,9.24420000000,Ganancia de actividad agrícola
"22",3 |  4,07116010-1006,1.56020000000,Ganancia de actividad agrícola
"29",5 |  5,07116011-6009,192.65900000000,Conservación de vegetación
"29",5 |  5,07116011-6009,92.15520000000,Conservación de vegetación
"29",5 |  5,07116011-6009,5.68662000000,Conservación de vegetación
"29",5 |  5,07116008-4008,192.13700000000,Conservación de vegetación
"29",5 |  5,07116008-4008,3.07176000000,Conservación de vegetación
"29",5 |  5,07116007-A001,156.28800000000,Conservación de vegetación
"29",5 |  5,07116005-0003,47.61450000000,Conservación de vegetación
"29",5 |  5,07116005-0003,848.54300000000,Conservación de vegetación
"29",5 |  5,07116005-0003,41.87880000000,Conservación de vegetación
"29",5 |  5,07116005-0003,103.71500000000,Conservación de vegetación
"29",5 |  5,07116005-0007,1294.61000000000,Conservación de vegetación
"29",5 |  5,07116005-0007,3.22974000000,Conservación de vegetación
"29",5 |  5,07116005-0007,41.19260000000,Conservación de vegetación
"29",5 |  5,07116007-A006,9.69981000000,Conservación de vegetación
"29",5 |  5,07116007-A006,7.50003000000,Conservación de vegetación
"29",5 |  5,07116007-A005,354.41900000000,Conservación de vegetación
"29",5 |  5,07116007-A005,1.76200000000,Conservación de vegetación
"29",5 |  5,07116007-A008,268.86900000000,Conservación de vegetación
"29",5 |  5,07116011-6001,185.41700000000,Conservación de vegetación
"29",5 |  5,07116011-6001,711.43800000000,Conservación de vegetación
"29",5 |  5,07116004-6001,11.12620000000,Conservación de vegetación
"29",5 |  5,07116004-6001,1017.75000000000,Conservación de vegetación
"29",5 |  5,07116004-6001,17.29230000000,Conservación de vegetación
"29",5 |  5,07116004-6001,9.87848000000,Conservación de vegetación
"29",5 |  5,07116005-0004,1010.38000000000,Conservación de vegetación
"29",5 |  5,07116010-1007,8.28484000000,Conservación de vegetación
"29",5 |  5,07116010-1007,212.78800000000,Conservación de vegetación
"29",5 |  5,07116010-1007,0.93660700000,Conservación de vegetación
"29",5 |  5,07116008-4003,802.36600000000,Conservación de vegetación
"29",5 |  5,07116008-4003,381.14600000000,Conservación de vegetación
"29",5 |  5,07116006-5009,348.38900000000,Conservación de vegetación
"29",5 |  5,07116012-0005,321.04900000000,Conservación de vegetación
"29",5 |  5,07116010-1014,120.52200000000,Conservación de vegetación
"29",5 |  5,07116010-1014,64.54990000000,Conservación de vegetación
"29",5 |  5,07116011-6005,223.88900000000,Conservación de vegetación
"29",5 |  5,07116008-4009,38.06490000000,Conservación de vegetación
"29",5 |  5,07116008-4009,27.77130000000,Conservación de vegetación
"29",5 |  5,07116008-4009,196.72300000000,Conservación de vegetación
"29",5 |  5,07116008-4009,4.97458000000,Conservación de vegetación
"29",5 |  5,07116006-5004,60.39910000000,Conservación de vegetación
"29",5 |  5,07116010-1012,177.37300000000,Conservación de vegetación
"29",5 |  5,07116007-A012,126.69400000000,Conservación de vegetación
"29",5 |  5,07116011-6008,202.21800000000,Conservación de vegetación
"29",5 |  5,07116011-6008,8.28425000000,Conservación de vegetación
"29",5 |  5,07116011-6008,18.34580000000,Conservación de vegetación
"29",5 |  5,07116011-6008,355.43600000000,Conservación de vegetación
"29",5 |  5,07116011-6008,24.56070000000,Conservación de vegetación
"29",5 |  5,07116011-6010,184.23400000000,Conservación de vegetación
"29",5 |  5,07116009-9001,45.81730000000,Conservación de vegetación
"29",5 |  5,07116011-6006,11.73020000000,Conservación de vegetación
"29",5 |  5,07116011-6006,73.85380000000,Conservación de vegetación
"29",5 |  5,07116007-A003,96.79970000000,Conservación de vegetación
"29",5 |  5,07116012-0004,1322.29000000000,Conservación de vegetación
"29",5 |  5,07116012-0004,13.73840000000,Conservación de vegetación
"29",5 |  5,07116012-0004,41.85290000000,Conservación de vegetación
"29",5 |  5,07116012-0004,2.11632000000,Conservación de vegetación
"29",5 |  5,07116012-0004,56.60400000000,Conservación de vegetación
