control,cve_ent,nom_ent,cve_mun,nom_mun,cve_ageb,cve_mza,terrenos,sup_total,cve_concat,shape_leng,shape_area,cont_clave,abejas,asnos,aves,bovinos,caprinos,conejos,equinos,iguana,machosmlas,ovinos,porcinos,p_total
07061007-A008,7,Chiapas,61,Ocozocoautla de Espinosa,007-A,8,28,363.9914,061_007-A_008,7996.64683529,3630067.1625,061_007-A_008,,,,12,,,,,,,,12
07106011-A002,7,Chiapas,106,Venustiano Carranza,011-A,2,57,521.5013,106_011-A_002,13416.1102551,5318954.43533,106_011-A_002,,,,18,,,,,,,,18
07067001-6002,7,Chiapas,67,Pantepec,001-6,2,51,180.6726,067_001-6_002,5886.67093617,1803731.19579,067_001-6_002,,,,30,,,,,,,,30
07059055-0003,7,Chiapas,59,Ocosingo,055-0,3,48,9602.9599,059_055-0_003,56821.7798307,95800752.7493,059_055-0_003,,,,1,,,,,,,,1
07069006-3004,7,Chiapas,69,Pijijiapan,006-3,4,19,658.4624,069_006-3_004,18708.0330055,6531054.53936,069_006-3_004,,,,19,,,,,,,,19
07069015-2005,7,Chiapas,69,Pijijiapan,015-2,5,9,407.598,069_015-2_005,11547.463016,4039714.60422,069_015-2_005,,,,9,,,,,,,,9
07017029-8011,7,Chiapas,17,Cintalapa,029-8,11,9,1196.8289,017_029-8_011,23159.2989557,11909938.9234,017_029-8_011,,,,9,,,,,,,,9
07061014-A014,7,Chiapas,61,Ocozocoautla de Espinosa,014-A,14,7,469.6871,061_014-A_014,9079.8863881,4679489.35305,061_014-A_014,,,,4,,,,,,,,4
07030001-6007,7,Chiapas,30,Chicomuselo,001-6,7,255,518.1868,030_001-6_007,11625.5011717,5196481.61995,030_001-6_007,,,1,175,,,,,,,2,178
07104004-5007,7,Chiapas,104,Tzimol,004-5,7,15,275.0663,104_004-5_007,11065.301673,2733936.64393,104_004-5_007,,,,3,,,,,,,,3
07009021-A008,7,Chiapas,9,Arriaga,021-A,8,15,477.9634,009_021-A_008,11399.4697824,4751445.91168,009_021-A_008,,,1,13,,,,,,,,14
07002005-A010,7,Chiapas,2,Acala,005-A,10,4,222.5682,002_005-A_010,6606.88644045,2215150.31354,002_005-A_010,,,,2,,,,,,,,2
07048003-A011,7,Chiapas,48,Juárez,003-A,11,9,750.6251,048_003-A_011,15172.2954656,7506570.54763,048_003-A_011,,,1,8,,,,,,,,9
07050003-8013,7,Chiapas,50,La Libertad,003-8,13,13,851.4578,050_003-8_013,13286.3248592,8512487.81055,050_003-8_013,,,,9,,,,,,,,9
07077014-A008,7,Chiapas,77,Salto de Agua,014-A,8,189,578.3069,077_014-A_008,12454.8956414,5774499.28838,077_014-A_008,,,,10,,,,,,,,10
07061008-4017,7,Chiapas,61,Ocozocoautla de Espinosa,008-4,17,559,1492.2284,061_008-4_017,23235.4624477,15177402.4242,061_008-4_017,,,1,164,,,,,,,,165
07046006-9026,7,Chiapas,46,Jiquipilas,006-9,26,68,143.1759,046_006-9_026,5121.65481253,1484762.46385,046_006-9_026,,,,10,,,,,,,,10
07069002-5029,7,Chiapas,69,Pijijiapan,002-5,29,29,31.339,069_002-5_029,3282.82035765,345638.749337,069_002-5_029,,,,1,,,,,,,1,2
07051012-4006,7,Chiapas,51,Mapastepec,012-4,6,12,660.8914,051_012-4_006,12109.5146434,6545967.74166,051_012-4_006,,,,11,,,,,,,,11
07051011-A029,7,Chiapas,51,Mapastepec,011-A,29,25,174.0175,051_011-A_029,7614.8842351,1723486.46641,051_011-A_029,,,4,7,,,,,,,,11
07013002-A031,7,Chiapas,13,Bochil,002-A,31,120,154.9027,013_002-A_031,6421.5598638,1552430.80959,013_002-A_031,,,,1,,,,,,,,1
07027007-8001,7,Chiapas,27,Chiapa de Corzo,007-8,1,11,479.5758,027_007-8_001,9363.56191057,4776663.19175,027_007-8_001,,,,3,,,,,,,,3
07069004-4001,7,Chiapas,69,Pijijiapan,004-4,1,47,446.5675,069_004-4_001,14581.1479368,4778451.55894,069_004-4_001,,,,32,,,,,,,,32
07069006-3001,7,Chiapas,69,Pijijiapan,006-3,1,25,339.8314,069_006-3_001,7520.11450326,3522345.34984,069_006-3_001,,,,17,,,,,,,1,18
07092005-7006,7,Chiapas,92,Tecpatán,005-7,6,3,139.8498,092_005-7_006,5572.41748567,1396392.5806,092_005-7_006,,,,3,,,,,,,,3
07016001-7002,7,Chiapas,16,Catazajá,001-7,2,55,344.5023,016_001-7_002,11309.5797407,3938271.37923,016_001-7_002,,,1,5,,,,,,,1,7
07097019-5003,7,Chiapas,97,Tonalá,019-5,3,57,571.0969,097_019-5_003,11256.3932832,5669748.43444,097_019-5_003,,,1,51,,,,,,,,52
07031002-8002,7,Chiapas,31,Chilón,002-8,2,628,5238.602,031_002-8_002,32846.5522965,52300523.7516,031_002-8_002,,,,1,,,,,,,,1
07052028-2001,7,Chiapas,52,Las Margaritas,028-2,1,69,5518.27,052_028-2_001,42290.927583,54921431.9842,052_028-2_001,,,,1,,,,,,,,1
07051012-4002,7,Chiapas,51,Mapastepec,012-4,2,33,399.9549,051_012-4_002,12229.0331147,4289383.80516,051_012-4_002,,,9,22,,,,,,,,31
07016003-6008,7,Chiapas,16,Catazajá,003-6,8,78,465.8465,016_003-6_008,9480.97746769,4662357.50302,016_003-6_008,,,,1,,,,,,,,1
07116006-5009,7,Chiapas,116,Marqués de Comillas,006-5,9,4,667.6872,116_006-5_009,12869.3443496,6650648.02685,116_006-5_009,,,,2,,,,,,,,2
07069009-7007,7,Chiapas,69,Pijijiapan,009-7,7,26,603.1028,069_009-7_007,13706.8637515,6284199.47932,069_009-7_007,,,,25,,,,,,,,25
07052033-3003,7,Chiapas,52,Las Margaritas,033-3,3,43,652.2455,052_033-3_003,11288.630575,6488761.03532,052_033-3_003,,,6,,,,,,,,,6
07108007-8018,7,Chiapas,108,Villaflores,007-8,18,5,61.0406,108_007-8_018,3252.24451064,607561.570393,108_007-8_018,,,,3,,,,,,,,3
07092013-1004,7,Chiapas,92,Tecpatán,013-1,4,8,467.7462,092_013-1_004,15590.5373965,4669162.31418,092_013-1_004,,,1,7,,,,,,,,8
07099003-9004,7,Chiapas,99,La Trinitaria,003-9,4,607,395.2429,099_003-9_004,13000.6460059,4611745.41162,099_003-9_004,,,1,247,,,,,,2,,250
07091002-6006,7,Chiapas,91,Tapilula,002-6,6,14,78.1505,091_002-6_006,6745.6500502,780183.221176,091_002-6_006,,,,5,,,,,,,,5
07071002-3005,7,Chiapas,71,Villa Comaltitlán,002-3,5,483,1216.7155,071_002-3_005,16161.7600465,12446963.2175,071_002-3_005,,,,58,,,,,,,,58
07099007-7006,7,Chiapas,99,La Trinitaria,007-7,6,49,97.5639,099_007-7_006,4527.25819291,970007.02036,099_007-7_006,,,3,,,,,,,,,3
07080006-0005,7,Chiapas,80,Siltepec,006-0,5,1228,1502.7989,080_006-0_005,16206.7003333,15168706.828,080_006-0_005,,,,3,,,,,,13,,16
07004006-9006,7,Chiapas,4,Altamirano,006-9,6,12,3312.2801,004_006-9_006,31345.1274964,32999501.5776,004_006-9_006,,,,8,,,,,,,,8
07065007-9007,7,Chiapas,65,Palenque,007-9,7,5,1615.0997,065_007-9_007,20769.8267124,16149170.3519,065_007-9_007,,,,3,,,,,,,,3
07030004-A010,7,Chiapas,30,Chicomuselo,004-A,10,50,415.98,030_004-A_010,11180.305574,4128615.41534,030_004-A_010,,,,15,,,,,,,,15
07048008-2010,7,Chiapas,48,Juárez,008-2,10,171,1874.6102,048_008-2_010,32899.1107317,18737316.3381,048_008-2_010,,,,99,,,,,,,,99
07068002-8010,7,Chiapas,68,Pichucalco,002-8,10,1,86.0021,068_002-8_010,3612.42152012,859730.015202,068_002-8_010,,,,1,,,,,,,,1
07087003-8012,7,Chiapas,87,Suchiate,003-8,12,84,579.7093,087_003-8_012,12427.0630473,6360828.11896,087_003-8_012,,,,25,,,,,,,,25
07065012-A001,7,Chiapas,65,Palenque,012-A,1,6,983.4706,065_012-A_001,18931.9190218,9831700.49924,065_012-A_001,,,,6,,,,,,,,6
07104005-A012,7,Chiapas,104,Tzimol,005-A,12,172,229.9038,104_005-A_012,8123.77008927,2422030.82741,104_005-A_012,,,,23,,,,,,,,23
07061010-1013,7,Chiapas,61,Ocozocoautla de Espinosa,010-1,13,34,515.126,061_010-1_013,11669.2223587,5135716.42715,061_010-1_013,,,,8,,,,,,,,8
07018002-6002,7,Chiapas,18,Coapilla,002-6,2,18,29.8349,018_002-6_002,2459.25879251,297708.395696,018_002-6_002,,,,17,,,,,,,,17
07013007-2011,7,Chiapas,13,Bochil,007-2,11,17,372.4214,013_007-2_011,11299.3328469,3714223.31309,013_007-2_011,,,,2,,,,,,,,2
07072004-A017,7,Chiapas,72,Pueblo Nuevo Solistahuacán,004-A,17,44,231.4524,072_004-A_017,8393.19663569,2309830.05886,072_004-A_017,,,,29,,,,,,,,29
07003004-2024,7,Chiapas,3,Acapetahua,004-2,24,43,168.8825,003_004-2_024,8177.90999613,1548721.37792,003_004-2_024,,,,3,,,,,,,,3
07097015-7024,7,Chiapas,97,Tonalá,015-7,24,3,90.5076,097_015-7_024,4327.33907068,899011.584423,097_015-7_024,,,,3,,,,,,,,3
07013002-A027,7,Chiapas,13,Bochil,002-A,27,117,301.6176,013_002-A_027,7084.55268139,3015965.60911,013_002-A_027,,,,43,,,,,,,,43
07107012-1018,7,Chiapas,107,Villa Corzo,012-1,18,5,115.7817,107_012-1_018,5235.88082778,1150545.79576,107_012-1_018,,,,5,,,,,,,,5
07051007-3019,7,Chiapas,51,Mapastepec,007-3,19,7,55.5658,051_007-3_019,3561.8828949,550883.942057,051_007-3_019,,,,6,,,,,,,,6
07017014-1003,7,Chiapas,17,Cintalapa,014-1,3,21,570.747,017_014-1_003,14570.5846245,5688819.80466,017_014-1_003,,,,10,,,,,,,,10
07048004-4007,7,Chiapas,48,Juárez,004-4,7,33,1096.4513,048_004-4_007,15961.1899857,10963991.7743,048_004-4_007,,,11,15,,,,,,,,26
07114011-1003,7,Chiapas,114,Benemérito de las Américas,011-1,3,239,6218.1435,114_011-1_003,34439.8863807,62948850.0949,114_011-1_003,,,,96,,,,,,,2,98
07020015-1004,7,Chiapas,20,La Concordia,015-1,4,168,1523.1552,020_015-1_004,21509.0501772,15123635.9658,020_015-1_004,,,1,7,,,,,,,,8
07118002-1003,7,Chiapas,118,San Andrés Duraznal,002-1,3,21,181.9951,118_002-1_003,6799.2916546,1816505.34636,118_002-1_003,,,,1,,,,,,,,1
07099024-0004,7,Chiapas,99,La Trinitaria,024-0,4,14,626.2407,099_024-0_004,10578.9853736,6218738.87038,099_024-0_004,,,,8,,,,,,,,8
07034007-2009,7,Chiapas,34,Frontera Comalapa,007-2,9,71,1041.0673,034_007-2_009,14156.6771012,10329020.9428,034_007-2_009,,,,22,,,,,,,,22
07065028-0006,7,Chiapas,65,Palenque,028-0,6,45,1025.9479,065_028-0_006,16162.1685684,10843719.3475,065_028-0_006,,,,15,,,,,,,,15
07046009-2010,7,Chiapas,46,Jiquipilas,009-2,10,13,464.5063,046_009-2_010,11284.3999447,4624445.31559,046_009-2_010,,,1,2,,,,,,,,3
07108011-4006,7,Chiapas,108,Villaflores,011-4,6,19,639.7622,108_011-4_006,20896.987229,6365673.87171,108_011-4_006,,,,1,,,,,,,,1
07092016-5007,7,Chiapas,92,Tecpatán,016-5,7,10,348.1473,092_016-5_007,12138.3613334,3474029.37081,092_016-5_007,,,,9,,,,,,,,9
07108013-3007,7,Chiapas,108,Villaflores,013-3,7,35,299.0243,108_013-3_007,7575.239466,2989469.29287,108_013-3_007,,,,12,,,,,,,,12
07077006-5008,7,Chiapas,77,Salto de Agua,006-5,8,13,151.0408,077_006-5_008,7411.13101829,1524687.89068,077_006-5_008,,,,5,,,,,,,,5
07050003-8012,7,Chiapas,50,La Libertad,003-8,12,7,2726.4838,050_003-8_012,38098.4938483,27261999.4105,050_003-8_012,,,,6,,,,,,,,6
07108019-0011,7,Chiapas,108,Villaflores,019-0,11,120,284.9349,108_019-0_011,7546.08878439,2973252.53911,108_019-0_011,,,,4,,,,,,,,4
07089028-2017,7,Chiapas,89,Tapachula,028-2,17,48,467.8501,089_028-2_017,10900.795982,4620604.34097,089_028-2_017,,,,1,,,,,,,,1
07065006-4015,7,Chiapas,65,Palenque,006-4,15,6,219.1962,065_006-4_015,8472.00239149,2191922.70699,065_006-4_015,,,,6,,,,,,,,6
07065029-5001,7,Chiapas,65,Palenque,029-5,1,27,288.0187,065_029-5_001,7844.96492607,3066376.0382,065_029-5_001,,,,1,,,,,,,,1
07089028-2016,7,Chiapas,89,Tapachula,028-2,16,103,875.9716,089_028-2_016,29285.0258191,8651512.47757,089_028-2_016,,,,19,,,,,,1,,20
07092020-1016,7,Chiapas,92,Tecpatán,020-1,16,154,1145.1513,092_020-1_016,15916.3856436,11698369.1508,092_020-1_016,,,3,130,,,,,,,,133
07059032-A015,7,Chiapas,59,Ocosingo,032-A,15,10,925.957,059_032-A_015,12239.073844,9231178.33978,059_032-A_015,,,,8,,,,,,,,8
07077002-7018,7,Chiapas,77,Salto de Agua,002-7,18,8,250.3509,077_002-7_018,13303.4323927,2502521.52618,077_002-7_018,,,,5,,,,,,,1,6
07107019-3018,7,Chiapas,107,Villa Corzo,019-3,18,9,947.57,107_019-3_018,20211.9264818,9412944.9159,107_019-3_018,,,,5,,,,,,,,5
07061008-4021,7,Chiapas,61,Ocozocoautla de Espinosa,008-4,21,236,605.5974,061_008-4_021,12552.0155293,6210274.72835,061_008-4_021,,,,91,,,,,,,,91
07017026-4001,7,Chiapas,17,Cintalapa,026-4,1,296,972.578,017_026-4_001,15230.6343895,10169233.0568,017_026-4_001,,,,66,,,,,,1,,67
07079004-0002,7,Chiapas,79,San Fernando,004-0,2,5,434.6309,079_004-0_002,12971.1767794,4333569.84658,079_004-0_002,,,,2,,,,,,,,2
07012004-1007,7,Chiapas,12,Berriozábal,004-1,7,12,114.7948,012_004-1_007,4676.56793005,1144454.96096,012_004-1_007,,,,3,,,,,,,,3
07089027-8011,7,Chiapas,89,Tapachula,027-8,11,6,719.416,089_027-8_011,11530.4926694,7107272.87252,089_027-8_011,,,,1,,,,,,,,1
07108010-A002,7,Chiapas,108,Villaflores,010-A,2,281,867.3466,108_010-A_002,17884.3774136,9297560.31568,108_010-A_002,,,,121,,,,,,,,121
07065017-2003,7,Chiapas,65,Palenque,017-2,3,167,618.4053,065_017-2_003,14352.2055437,6450731.35317,065_017-2_003,,,2,8,,,,,,,,10
07059027-9009,7,Chiapas,59,Ocosingo,027-9,9,15,636.1273,059_027-9_009,13805.9291832,6344825.08951,059_027-9_009,,,,5,,,,,,,,5
07062002-4009,7,Chiapas,62,Ostuacán,002-4,9,4,758.264,062_002-4_009,16165.5860105,7575488.99786,062_002-4_009,,,,1,,,,,,,,1
07034008-7006,7,Chiapas,34,Frontera Comalapa,008-7,6,394,603.6798,034_008-7_006,14424.5711771,6635222.45076,034_008-7_006,,,,90,,,,,,,,90
07037003-6006,7,Chiapas,37,Huehuetán,003-6,6,373,1026.3895,037_003-6_006,14023.7912264,10712116.8047,037_003-6_006,,,,25,,,,,,1,,26
07021002-1013,7,Chiapas,21,Copainalá,002-1,13,52,718.7457,021_002-1_013,14533.7711662,7172558.11795,021_002-1_013,,,2,12,,,,,,,,14
07076002-A006,7,Chiapas,76,Sabanilla,002-A,6,889,1902.1802,076_002-A_006,21372.2751634,19433688.7656,076_002-A_006,,,4,98,,,,,,,,102
07089025-9010,7,Chiapas,89,Tapachula,025-9,10,87,372.1634,089_025-9_010,10756.677593,3718539.45312,089_025-9_010,,,,1,1,,,,,,,2
07065003-0011,7,Chiapas,65,Palenque,003-0,11,3,683.3859,065_003-0_011,11090.9121933,6835955.29165,065_003-0_011,,,,1,,,,,,,,1
07019012-7007,7,Chiapas,19,Comitán de Domínguez,012-7,7,296,1135.0197,019_012-7_007,30029.6891242,11291131.5011,019_012-7_007,,,,2,,,,,,,,2
07083006-2008,7,Chiapas,83,Socoltenango,006-2,8,4,522.1535,083_006-2_008,12007.784033,5188731.63757,083_006-2_008,,,,3,,,,,,,,3
07017018-A009,7,Chiapas,17,Cintalapa,018-A,9,20,196.928,017_018-A_009,5984.54313723,1962147.49467,017_018-A_009,,,2,3,,,,,,,,5
07108009-7021,7,Chiapas,108,Villaflores,009-7,21,5,4.266,108_009-7_021,1065.96901534,43971.0124279,108_009-7_021,,,,1,,,,,,,,1
07062001-A012,7,Chiapas,62,Ostuacán,001-A,12,112,388.3707,062_001-A_012,11123.8558639,4205350.56478,062_001-A_012,,,1,93,,,,,,,,94
07101049-0016,7,Chiapas,101,Tuxtla Gutiérrez,049-0,16,6,1052.4805,101_049-0_016,15091.0393072,10483600.4686,101_049-0_016,,,,2,,,,,,,,2
07108010-A020,7,Chiapas,108,Villaflores,010-A,20,19,339.4871,108_010-A_020,8426.40174739,3377432.44058,108_010-A_020,,,2,2,,,,,,,,4
07114008-A001,7,Chiapas,114,Benemérito de las Américas,008-A,1,231,5784.0113,114_008-A_001,54857.0693584,58708806.1892,114_008-A_001,,,4,133,,,,,,,1,138
07043002-9002,7,Chiapas,43,Ixtacomitán,002-9,2,5,95.0477,043_002-9_002,6822.749445,949514.236785,043_002-9_002,,,,4,,,,,,,,4
07003005-7003,7,Chiapas,3,Acapetahua,005-7,3,29,1036.9472,003_005-7_003,15817.0639435,10265441.3416,003_005-7_003,,,,12,,,,,,,,12
07019016-5006,7,Chiapas,19,Comitán de Domínguez,016-5,6,338,212.4213,019_016-5_006,10444.5192056,2436610.14378,019_016-5_006,,,,6,,,,,,,,6
07030002-0006,7,Chiapas,30,Chicomuselo,002-0,6,467,852.5048,030_002-0_006,15300.1389477,9871307.69509,030_002-0_006,1,,,143,,,,,,,,144
07065012-A002,7,Chiapas,65,Palenque,012-A,2,4,331.1322,065_012-A_002,12468.3609011,3310547.67255,065_012-A_002,,,,4,,,,,,,,4
07048003-A012,7,Chiapas,48,Juárez,003-A,12,42,554.0172,048_003-A_012,13645.2413434,5540176.09852,048_003-A_012,,,2,37,,,,,,,1,40
07075006-0012,7,Chiapas,75,Las Rosas,006-0,12,14,112.6385,075_006-0_012,4895.8529369,1120316.58297,075_006-0_012,,,,10,,,,,,,,10
07051014-3015,7,Chiapas,51,Mapastepec,014-3,15,51,604.2295,051_014-3_015,15643.6458061,6304496.8786,051_014-3_015,,,1,26,,,,,,,,27
07051007-3022,7,Chiapas,51,Mapastepec,007-3,22,37,231.1006,051_007-3_022,6288.55354751,2312091.72605,051_007-3_022,,,2,32,,,,,,,,34
07089029-7019,7,Chiapas,89,Tapachula,029-7,19,25,299.9475,089_029-7_019,8007.38371733,2961335.48222,089_029-7_019,,,,1,,,,,,,,1
07003003-8019,7,Chiapas,3,Acapetahua,003-8,19,42,112.6742,003_003-8_019,7185.98452629,1232371.49093,003_003-8_019,,,,21,,,,,,,,21
07107011-7023,7,Chiapas,107,Villa Corzo,011-7,23,20,68.7856,107_011-7_023,4347.54750143,683595.64638,107_011-7_023,,,,6,,,,,,,,6
07072004-A024,7,Chiapas,72,Pueblo Nuevo Solistahuacán,004-A,24,102,130.909,072_004-A_024,6559.16282249,1323701.48574,072_004-A_024,,,,7,,,,,,,,7
07044001-1002,7,Chiapas,44,Ixtapa,001-1,2,472,687.8343,044_001-1_002,13072.8829802,7165309.3027,044_001-1_002,,,,105,,,,,,,,105
07081004-9002,7,Chiapas,81,Simojovel,004-9,2,12,64.0368,081_004-9_002,6155.09907766,639069.20374,081_004-9_002,,,,2,,,,,,,,2
07030002-0004,7,Chiapas,30,Chicomuselo,002-0,4,35,168.7735,030_002-0_004,7575.75825413,1675934.94748,030_002-0_004,,,,3,,,,,,,,3
07097021-2011,7,Chiapas,97,Tonalá,021-2,11,10,984.82,097_021-2_011,15542.4065835,9771012.58815,097_021-2_011,,,,3,,,,,,,,3
07061020-5002,7,Chiapas,61,Ocozocoautla de Espinosa,020-5,2,16,669.759,061_020-5_002,13566.443476,6669157.1561,061_020-5_002,,,,2,,,,,,,,2
07042001-7005,7,Chiapas,42,Ixhuatán,001-7,5,982,1274.8968,042_001-7_005,14660.0123119,13103720.9838,042_001-7_005,,,,164,,,,,,,,164
07048009-7005,7,Chiapas,48,Juárez,009-7,5,16,467.6597,048_009-7_005,10350.7128793,4674337.17098,048_009-7_005,,,,8,,,,,,,,8
07046014-3006,7,Chiapas,46,Jiquipilas,014-3,6,51,99.2868,046_014-3_006,5456.42796609,990380.929164,046_014-3_006,,,,18,,,,,,,1,19
07065022-3006,7,Chiapas,65,Palenque,022-3,6,3,181.4294,065_022-3_006,7189.30312879,1813270.02418,065_022-3_006,,,,1,,,,,,,,1
07074003-A007,7,Chiapas,74,Reforma,003-A,7,106,2345.0732,074_003-A_007,29002.8457434,23460840.3013,074_003-A_007,,,,71,,,,,,,,71
07017012-2008,7,Chiapas,17,Cintalapa,012-2,8,109,445.5237,017_012-2_008,11104.8675341,4683128.18954,017_012-2_008,,,6,20,,,,,,,,26
07061010-1009,7,Chiapas,61,Ocozocoautla de Espinosa,010-1,9,89,178.1728,061_010-1_009,6595.97232773,1837002.95694,061_010-1_009,,,,12,,,,,,,,12
07046016-2007,7,Chiapas,46,Jiquipilas,016-2,7,11,339.108,046_016-2_007,8062.05844757,3374169.48026,046_016-2_007,,,,7,,,,,,,,7
07092008-0014,7,Chiapas,92,Tecpatán,008-0,14,129,1099.7506,092_008-0_014,19008.8961556,11197213.5121,092_008-0_014,,,,123,,,,,,,,123
07001004-8016,7,Chiapas,1,Acacoyagua,004-8,16,30,596.9271,001_004-8_016,11620.9698039,5910541.07554,001_004-8_016,,,,5,,,,,,,,5
07020006-2021,7,Chiapas,20,La Concordia,006-2,21,58,541.9503,020_006-2_021,10829.3280094,5387285.79753,020_006-2_021,,,,41,,,,,,,,41
07099014-7019,7,Chiapas,99,La Trinitaria,014-7,19,43,210.8505,099_014-7_019,6437.84448257,2094410.72996,099_014-7_019,,,,43,,,,,,,,43
07005001-3027,7,Chiapas,5,Amatán,001-3,27,349,975.7598,005_001-3_027,14179.3554546,9747817.78342,005_001-3_027,,,,30,,,,,,,,30
07032005-9048,7,Chiapas,32,Escuintla,005-9,48,63,64.8642,032_005-9_048,3907.83324594,663616.094073,032_005-9_048,,,,4,,,,,,,,4
07061008-4002,7,Chiapas,61,Ocozocoautla de Espinosa,008-4,2,58,1550.4955,061_008-4_002,32834.9407531,15468237.0798,061_008-4_002,,,1,7,,,,,,,,8
07097016-1003,7,Chiapas,97,Tonalá,016-1,3,23,3379.16,097_016-1_003,30760.2139428,33555539.5067,097_016-1_003,,,,5,,,,,,,1,6
07099010-9004,7,Chiapas,99,La Trinitaria,010-9,4,13,1717.1498,099_010-9_004,26196.0308946,17063316.9749,099_010-9_004,,,,1,,,,,,,,1
07004002-0009,7,Chiapas,4,Altamirano,002-0,9,54,2477.085,004_002-0_009,22890.6472357,24689752.5784,004_002-0_009,5,,,,,,,,,,,5
07032005-9005,7,Chiapas,32,Escuintla,005-9,5,104,728.7276,032_005-9_005,11619.9593321,7885306.97468,032_005-9_005,,,2,80,,,,,,,,82
07017009-0009,7,Chiapas,17,Cintalapa,009-0,9,33,1305.6545,017_009-0_009,17717.5089446,13015475.6972,017_009-0_009,,,3,25,,,,,,,2,30
07061015-4005,7,Chiapas,61,Ocozocoautla de Espinosa,015-4,5,183,634.5324,061_015-4_005,11578.3893033,6682113.07355,061_015-4_005,,,,35,,,,,,20,,55
07020006-2019,7,Chiapas,20,La Concordia,006-2,19,78,256.3897,020_006-2_019,8137.90664988,2622418.3227,020_006-2_019,,,,53,,,,,,,,53
07074004-4006,7,Chiapas,74,Reforma,004-4,6,27,1000.3601,074_004-4_006,16913.5195546,10005857.7896,074_004-4_006,,,,24,,,,,,,,24
07108013-3006,7,Chiapas,108,Villaflores,013-3,6,62,658.7262,108_013-3_006,13261.818425,6589283.44868,108_013-3_006,,,,5,,,,,,,,5
07065005-A012,7,Chiapas,65,Palenque,005-A,12,13,1011.5439,065_005-A_012,14346.4382491,10116356.5632,065_005-A_012,,,,9,,,,,,2,,11
07019011-2007,7,Chiapas,19,Comitán de Domínguez,011-2,7,102,1295.1284,019_011-2_007,29382.8152026,12886770.1825,019_011-2_007,,,,1,,,,,,,,1
07061020-5019,7,Chiapas,61,Ocozocoautla de Espinosa,020-5,19,18,269.5478,061_020-5_019,8018.51631834,2682383.49591,061_020-5_019,,,,6,,,,,,,,6
07013003-4010,7,Chiapas,13,Bochil,003-4,10,790,1698.1652,013_003-4_010,22552.85124,17309004.1247,013_003-4_010,,,,211,,,,,,,,211
07074001-0010,7,Chiapas,74,Reforma,001-0,10,16,1215.4689,074_001-0_010,19832.7046082,12162797.2896,074_001-0_010,,,,12,,,,,,,,12
07100002-7010,7,Chiapas,100,Tumbalá,002-7,10,102,802.9856,100_002-7_010,12309.0925814,8170161.67012,100_002-7_010,,,4,,,,,,,,,4
07065014-9012,7,Chiapas,65,Palenque,014-9,12,52,412.5347,065_014-9_012,11860.1967438,4153313.27491,065_014-9_012,,,1,38,,,,,,2,,41
07088001-6013,7,Chiapas,88,Sunuapa,001-6,13,62,798.9082,088_001-6_013,14193.4523401,7982274.62602,088_001-6_013,,,3,26,,,,,,,,29
07068007-0007,7,Chiapas,68,Pichucalco,007-0,7,13,438.1629,068_007-0_007,9283.30703846,4378089.74171,068_007-0_007,,,,9,,,,,,,,9
07003006-1021,7,Chiapas,3,Acapetahua,006-1,21,1,88.7903,003_006-1_021,6079.27711711,878503.889409,003_006-1_021,,,,1,,,,,,,,1
07051010-5020,7,Chiapas,51,Mapastepec,010-5,20,20,90.541,051_010-5_020,4719.64112582,991081.077135,051_010-5_020,,,,14,,,,,,,,14
07081002-A015,7,Chiapas,81,Simojovel,002-A,15,17,130.3803,081_002-A_015,5474.0233506,1300941.50186,081_002-A_015,,,2,,,,,,,,,2
07108022-2005,7,Chiapas,108,Villaflores,022-2,5,7,978.6306,108_022-2_005,20546.4014082,9730574.69595,108_022-2_005,,,,3,,,,,,,,3
07002005-A025,7,Chiapas,2,Acala,005-A,25,87,162.7647,002_005-A_025,5256.63688286,1625320.27835,002_005-A_025,,,,5,,,,,,,,5
07017029-8012,7,Chiapas,17,Cintalapa,029-8,12,10,509.6725,017_029-8_012,12715.1555957,5072355.45098,017_029-8_012,,,,8,,,,,,,,8
07040007-A002,7,Chiapas,40,Huixtla,007-A,2,169,1680.5996,040_007-A_002,22910.4061732,17428421.5849,040_007-A_002,,,,14,,,,,,,,14
07009021-A004,7,Chiapas,9,Arriaga,021-A,4,17,622.564,009_021-A_004,10176.7226789,6189523.01396,009_021-A_004,,,1,13,,,,,,,,14
07065007-9013,7,Chiapas,65,Palenque,007-9,13,71,442.2432,065_007-9_013,12348.1599625,4651028.42714,065_007-9_013,,,,21,,,,,,,,21
07062002-4003,7,Chiapas,62,Ostuacán,002-4,3,1,502.1297,062_002-4_003,17177.5376723,5017030.95214,062_002-4_003,,,,1,,,,,,,,1
07050002-3001,7,Chiapas,50,La Libertad,002-3,1,8,532.9144,050_002-3_001,9726.47582612,5330741.91686,050_002-3_001,,,,7,,,,,,,,7
07097010-4004,7,Chiapas,97,Tonalá,010-4,4,19,216.9946,097_010-4_004,8255.90314075,2155355.89789,097_010-4_004,,,,17,,,,,,,,17
07098002-7004,7,Chiapas,98,Totolapa,002-7,4,6,73.8112,098_002-7_004,4212.33558774,734742.23138,098_002-7_004,,,,3,,,,,,,,3
07099022-1009,7,Chiapas,99,La Trinitaria,022-1,9,109,141.3907,099_022-1_009,5972.05651921,1625324.31957,099_022-1_009,,,,15,,,,,,,,15
