control,cve_ent,nom_ent,cve_mun,nom_mun,cve_ageb,cve_mza,terrenos,sup_total,cve_concat,shape_leng,shape_area,cont_clave,abejas,asnos,aves,bovinos,caprinos,conejos,equinos,iguana,machosmlas,ovinos,porcinos,p_total
07096004-1007,7,Chiapas,96,Tila,004-1,7,2,46.8523,096_004-1_007,3522.56170062,468248.965395,096_004-1_007,,,,1,,,,,,,,1
07068006-6009,7,Chiapas,68,Pichucalco,006-6,9,5,404.7214,068_006-6_009,10940.9837603,4044900.247,068_006-6_009,,,,1,,,,,,,,1
07109002-2009,7,Chiapas,109,Yajalón,002-2,9,133,2641.0081,109_002-2_009,28682.4639785,26362873.9533,109_002-2_009,,,,9,,,,,,1,,10
07059042-3010,7,Chiapas,59,Ocosingo,042-3,10,447,934.0501,059_042-3_010,13612.4862791,9538846.15,059_042-3_010,,,,53,,,,,,,,53
07017024-5040,7,Chiapas,17,Cintalapa,024-5,40,40,261.7581,017_024-5_040,7340.79107364,2606047.76424,017_024-5_040,,,5,17,,,,,,,3,25
07077006-5017,7,Chiapas,77,Salto de Agua,006-5,17,39,181.0734,077_006-5_017,6630.80699246,1868519.53344,077_006-5_017,,,,10,,,,,,,,10
07099016-6010,7,Chiapas,99,La Trinitaria,016-6,10,72,778.6918,099_016-6_010,23564.1568183,7734945.44403,099_016-6_010,,,,22,,,,,,,,22
07051007-3001,7,Chiapas,51,Mapastepec,007-3,1,133,1451.2685,051_007-3_001,20562.5599045,15804493.1964,051_007-3_001,,,,20,,,,,,,,20
07101039-7010,7,Chiapas,101,Tuxtla Gutiérrez,039-7,10,149,327.14,101_039-7_010,10287.7736176,3415839.75048,101_039-7_010,,,1,3,,,,,,,,4
07108013-3010,7,Chiapas,108,Villaflores,013-3,10,20,620.269,108_013-3_010,14604.8180374,6170089.71642,108_013-3_010,,,,20,,,,,,,,20
07097012-3011,7,Chiapas,97,Tonalá,012-3,11,17,220.0455,097_012-3_011,7488.05352645,2185516.99576,097_012-3_011,,,1,13,,,,,,,,14
07020026-A001,7,Chiapas,20,La Concordia,026-A,1,3,2024.0599,020_026-A_001,30788.099941,20082218.277,020_026-A_001,,,,1,,,,,,,,1
07047002-8012,7,Chiapas,47,Jitotol,002-8,12,772,754.817,047_002-8_012,24447.217003,7818151.23154,047_002-8_012,,,5,94,,,,,,,,99
07020010-9017,7,Chiapas,20,La Concordia,010-9,17,65,206.924,020_010-9_017,8198.59127476,2054871.10338,020_010-9_017,,,,,,,,,,,1,1
07070001-1002,7,Chiapas,70,El Porvenir,001-1,2,204,832.2198,070_001-1_002,18131.0315956,8245606.15717,070_001-1_002,,,,,,,,,,1,,1
07092005-7020,7,Chiapas,92,Tecpatán,005-7,20,4,51.4872,092_005-7_020,3499.77029918,513938.40903,092_005-7_020,,,,4,,,,,,,,4
07062003-9003,7,Chiapas,62,Ostuacán,003-9,3,37,2084.0509,062_003-9_003,43152.1044821,20822738.6996,062_003-9_003,,,1,13,,,,,,1,6,21
07108011-4002,7,Chiapas,108,Villaflores,011-4,2,6,48.5685,108_011-4_002,3476.36619585,483389.282419,108_011-4_002,,,,1,,,,,,,,1
07106017-7005,7,Chiapas,106,Venustiano Carranza,017-7,5,151,1140.9328,106_017-7_005,18907.762593,11346150.988,106_017-7_005,,,,3,,,,,,,,3
07074005-9007,7,Chiapas,74,Reforma,005-9,7,6,615.7368,074_005-9_007,13187.8074835,6158771.98319,074_005-9_007,,,,3,,,,,,,1,4
07097019-5008,7,Chiapas,97,Tonalá,019-5,8,80,468.4964,097_019-5_008,9398.01112476,4811385.99991,097_019-5_008,,,2,71,,,,,,,1,74
07017021-1010,7,Chiapas,17,Cintalapa,021-1,10,87,578.7354,017_021-1_010,11795.8586809,5764736.89369,017_021-1_010,,,,30,,,,,,,,30
07051008-8010,7,Chiapas,51,Mapastepec,008-8,10,67,536.7714,051_008-8_010,9846.80951557,5318416.28984,051_008-8_010,,,,29,,,,,,,,29
07089026-3012,7,Chiapas,89,Tapachula,026-3,12,9,323.8339,089_026-3_012,11389.5174819,3122763.99316,089_026-3_012,,,,3,,,,,,,,3
07099006-2016,7,Chiapas,99,La Trinitaria,006-2,16,4,30.2233,099_006-2_016,2233.92960924,300509.396003,099_006-2_016,,,,4,,,,,,,,4
07065012-A018,7,Chiapas,65,Palenque,012-A,18,51,588.8481,065_012-A_018,11366.5506074,5887005.03964,065_012-A_018,,,,9,,,,,,,,9
07099014-7018,7,Chiapas,99,La Trinitaria,014-7,18,3,108.8655,099_014-7_018,8628.53804815,1081430.30819,099_014-7_018,,,,3,,,,,,,,3
07108009-7019,7,Chiapas,108,Villaflores,009-7,19,23,64.7818,108_009-7_019,3794.00204376,644718.526364,108_009-7_019,,,1,2,,,,,,,,3
07084001-7012,7,Chiapas,84,Solosuchiapa,001-7,12,7,464.2841,084_001-7_012,14829.8433394,4637333.39933,084_001-7_012,,,,6,,,,,,,,6
07061006-5001,7,Chiapas,61,Ocozocoautla de Espinosa,006-5,1,48,1301.7792,061_006-5_001,15114.7366854,12987407.4053,061_006-5_001,,,,2,,,,,,,,2
07079006-A021,7,Chiapas,79,San Fernando,006-A,21,594,925.26,079_006-A_021,13456.3820064,9709673.14858,079_006-A_021,,,,25,,,,,,1,,26
07097015-7030,7,Chiapas,97,Tonalá,015-7,30,7,70.657,097_015-7_030,3411.52302982,701655.317726,097_015-7_030,,,,3,,,,,,,,3
07065006-4002,7,Chiapas,65,Palenque,006-4,2,6,315.3759,065_006-4_002,8353.0194466,3153904.79408,065_006-4_002,,,,5,,,,,,,,5
07020012-8014,7,Chiapas,20,La Concordia,012-8,14,44,615.6352,020_012-8_014,12113.276488,6113066.3697,020_012-8_014,,,1,11,,,,,,,,12
07086005-A003,7,Chiapas,86,Suchiapa,005-A,3,5,110.0562,086_005-A_003,4827.49678333,1095770.72359,086_005-A_003,,,,3,,,,,,,,3
07062001-A037,7,Chiapas,62,Ostuacán,001-A,37,55,551.8619,062_001-A_037,15514.2536306,5625925.95201,062_001-A_037,,,,54,,,,,,,,54
07016006-A001,7,Chiapas,16,Catazajá,006-A,1,290,2144.6126,016_006-A_001,31355.356707,25233176.5359,016_006-A_001,,,15,218,,,,,,,6,239
07085003-3005,7,Chiapas,85,Soyaló,003-3,5,57,103.2529,085_003-3_005,4201.92871261,1116554.21741,085_003-3_005,,,,17,,,,,,,,17
07034005-3003,7,Chiapas,34,Frontera Comalapa,005-3,3,160,3929.616,034_005-3_003,35196.6786983,38997931.855,034_005-3_003,,,,85,,,,,,,,85
07068005-1003,7,Chiapas,68,Pichucalco,005-1,3,14,354.1902,068_005-1_003,10672.3635715,3540062.4707,068_005-1_003,,,,2,,,,,,,,2
07084001-7004,7,Chiapas,84,Solosuchiapa,001-7,4,46,326.4321,084_001-7_004,8892.23625964,3419944.92185,084_001-7_004,,,,8,,,,,,,,8
07093002-0003,7,Chiapas,93,Tenejapa,002-0,3,162,652.8895,093_002-0_003,20092.5569105,6506583.69595,093_002-0_003,,,,1,,,,,,,,1
07032005-9004,7,Chiapas,32,Escuintla,005-9,4,3,145.3374,032_005-9_004,6439.80791133,1439189.91194,032_005-9_004,,,,2,,,,,,,,2
