control,cve_ent,nom_ent,cve_mun,nom_mun,cve_ageb,cve_mza,terrenos,sup_total,cve_concat,shape_leng,shape_area,contclave,aceituno,achiotillo,acote,aguacacima,aguacatill,alamo,algodoncil,amate,baqueta,barranco,bobchiche,campanillo,canelito,cante,caoba,caobilla,caracolill,carbon,cascarillo,cedro,cedroespin,cedron,ceiba,chalum,chumish,cipres,coleto,copal,copalche,corcho,cuaulote,encino,espinanegr,espinonegr,florasilve,fresnogiga,frijolillo,guaciban,guaje,guayabillo,hormiguill,huamuche,hulehevea,jarilarbol,jobillo,laurel,lena,limoncillo,macablanca,madredecac,mangle,marinero,matabuey,melina,nisperozap,ocotillo,oyamel,palmachaca,palocortes,palocedril,palovamari,pinabete,pino,pinolillo,popiste,primavera,roble,saucelloro,teca,tepemezqui,zapotefais,zapotillo,f_total
07114014-5003,7,Chiapas,114,Benemérito de las Américas,014-5,3,226,3921.7975,114_014-5_003,26340.1633483,40124469.7073,114_014-5_003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07051011-A027,7,Chiapas,51,Mapastepec,011-A,27,3,81.8604,051_011-A_027,3747.79492746,810779.84672,051_011-A_027,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07046011-A013,7,Chiapas,46,Jiquipilas,011-A,13,6,1268.2072,046_011-A_013,27662.1265145,12619883.0148,046_011-A_013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5
07046009-2002,7,Chiapas,46,Jiquipilas,009-2,2,537,2271.8862,046_009-2_002,24255.7397046,23657559.0981,046_009-2_002,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,7,,,,,,,,,,13
07116006-5006,7,Chiapas,116,Marqués de Comillas,006-5,6,183,3802.8789,116_006-5_006,27395.5642443,38459668.107,116_006-5_006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,9
07054003-7013,7,Chiapas,54,Mazatán,003-7,13,15,146.4387,054_003-7_013,26723.8145794,2319437.54837,054_003-7_013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
07019011-2003,7,Chiapas,19,Comitán de Domínguez,011-2,3,4,357.2252,019_011-2_003,8894.08167545,3554793.77195,019_011-2_003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
07017028-3013,7,Chiapas,17,Cintalapa,028-3,13,25,247.9825,017_028-3_013,9375.59506716,2467830.70949,017_028-3_013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,6
07056001-2002,7,Chiapas,56,Mitontic,001-2,2,2131,2771.6961,056_001-2_002,24718.546793,27631144.8216,056_001-2_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,1,,,,,,,,,,,,,,,,49
07015002-4025,7,Chiapas,15,Cacahoatán,002-4,25,545,486.2398,015_002-4_025,15899.7964252,5633344.87565,015_002-4_025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
