"","AC","cve_Entidad","Entidad","cvd_Municipio","Municipio","cve_AGEB","cve_Manzana","Terrenos_totales","Superficie_total","Terrenos_con_actividad_forestal","Terrenos_con_actividad_pecuaria","Terrenos_con_actividad_agricola","Superfice_carto_agricola","Superficie_sembrada","Terreno_promedio_ha_total","Terreno_promedio_aricola","Porcentaje_terrenos_forestal","Porcentaje_terrenos_pecuario","Porcentaje_terrenos_agricola","Porcentaje_ocupado"
"201","07003005-7019","07","Chiapas","003","Acapetahua","005-7","019","49",925.906,0,11,57,33,627.5623,27488419.33941,56.6881224489796,0,0.224489795918367,0.673469387755102,0.897959183673469
"202","07003005-7023","07","Chiapas","003","Acapetahua","005-7","023","1",387.232,0,0,0,0,0,0,0,0,0,0,0
"203","07003005-7024","07","Chiapas","003","Acapetahua","005-7","024","33",71.2099,0,2,48,29,62.289,1605605.1583,4.31575151515152,0,0.0606060606060606,0.878787878787879,0.939393939393939
"204","07003005-7025","07","Chiapas","003","Acapetahua","005-7","025","23",395.3791,0,4,25,15,208.8673,3934910.21828,17.1903956521739,0,0.173913043478261,0.652173913043478,0.826086956521739
"205","07003006-1001","07","Chiapas","003","Acapetahua","006-1","001","19",409.7655,0,7,2,10,332.6902,8111654.55744,43.1332105263158,0,0.368421052631579,0.526315789473684,0.894736842105263
"206","07003006-1002","07","Chiapas","003","Acapetahua","006-1","002","220",1227.2144,0,82,6,115,524.0824,38512012.6986,16.7347418181818,0,0.372727272727273,0.522727272727273,0.895454545454546
"207","07003006-1003","07","Chiapas","003","Acapetahua","006-1","003","30",1090.7515,0,13,3,17,677.7646,10793892.9195,36.3583833333333,0,0.433333333333333,0.566666666666667,1
"208","07003006-1004","07","Chiapas","003","Acapetahua","006-1","004","10",978.6477,0,1,4,1,177.1257,9684677.1407,97.86477,0,0.1,0.1,0.2
"209","07003006-1006","07","Chiapas","003","Acapetahua","006-1","006","37",579.3492,0,18,24,18,160.3308,22933175.1448,62.6323459459459,0,0.486486486486487,0.486486486486487,0.972972972972973
"210","07003006-1007","07","Chiapas","003","Acapetahua","006-1","007","41",638.2316,0,34,21,6,129.8963,18947290.0398,46.6998731707317,0,0.829268292682927,0.146341463414634,0.975609756097561
"211","07003006-1008","07","Chiapas","003","Acapetahua","006-1","008","37",540.1384,0,20,16,10,136.4912,10689574.1138,29.1966702702703,0,0.540540540540541,0.27027027027027,0.810810810810811
"212","07003006-1009","07","Chiapas","003","Acapetahua","006-1","009","17",590.8752,0,4,18,11,299.3133,11693730.61764,69.5147294117647,0,0.235294117647059,0.647058823529412,0.882352941176471
"213","07003006-1010","07","Chiapas","003","Acapetahua","006-1","010","71",288.954,0,11,40,24,102.5206,11436455.58488,16.2790985915493,0,0.154929577464789,0.338028169014085,0.492957746478873
"214","07003006-1012","07","Chiapas","003","Acapetahua","006-1","012","27",40.2063,0,0,12,26,38.7976,463501.368379,1.48912222222222,0,0,0.962962962962963,0.962962962962963
"215","07003006-1013","07","Chiapas","003","Acapetahua","006-1","013","20",572.896,0,5,0,0,0,0,0,0,0.25,0,0.25
